Assay_Type_s,Organism_s,Brain Bank,Sex,sex_s,Age,Age Units,Development,Race,Sample Origin,tissue_s,Cell Line,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSampleModel_s,AvgSpotLen_l,Experiment_s,Instrument_s,LibraryLayout_s,Library_Name_s,LoadDate_s,MBases_l,MBytes_l,Platform_s,Run_s,BioProject_s,BioSample_s,Center_Name_s,Consent_s,InsertSize_l,LibrarySelection_s,LibrarySource_s,ReleaseDate_s,SRA_Sample_s,SRA_Study_s,Sample_Name_s,biomaterial_provider_s,isolate_s
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX766499,Illumina HiSeq 2000,PAIRED,TB0000032_shortReads,2014-11-25,42085,16441,ILLUMINA,SRR1660804,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX766501,Illumina HiSeq 2000,PAIRED,TB0000033_shortReads,2014-11-25,39872,15625,ILLUMINA,SRR1660806,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX766503,Illumina HiSeq 2000,PAIRED,TB0000034_shortReads,2014-11-25,41715,16378,ILLUMINA,SRR1660808,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX766505,Illumina HiSeq 2000,PAIRED,TB0000035_shortReads,2014-11-25,40845,15987,ILLUMINA,SRR1660810,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877428,Illumina HiSeq 2000,PAIRED,HsBN_lib6_shortReads,2015-02-14,48891,27705,ILLUMINA,SRR1803369,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877429,Illumina HiSeq 2000,PAIRED,HsBN_lib7_shortReads,2015-02-14,50884,29690,ILLUMINA,SRR1803370,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877430,Illumina HiSeq 2000,PAIRED,HsBN_lib8_shortReads,2015-02-14,50431,29826,ILLUMINA,SRR1803371,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877431,Illumina HiSeq 2000,PAIRED,HsBN_lib9_shortReads,2015-02-14,50312,29886,ILLUMINA,SRR1803372,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877432,Illumina HiSeq 2000,PAIRED,HsBN_lib10_shortReads,2015-02-14,50970,30614,ILLUMINA,SRR1803373,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877433,Illumina HiSeq 2000,PAIRED,HsBN_lib11_shortReads,2015-02-14,50527,30573,ILLUMINA,SRR1803374,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,250,SRX877434,Illumina HiSeq 2000,PAIRED,HsBN_lib12_shortReads,2015-02-14,52310,30941,ILLUMINA,SRR1803375,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1384,SRX877676,PacBio RS II,SINGLE,ABCD4,2015-02-13,12,6,PACBIO_SMRT,SRR1803618,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1527,SRX877677,PacBio RS II,SINGLE,EXOC7,2015-02-13,14,6,PACBIO_SMRT,SRR1803619,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1474,SRX877678,PacBio RS II,SINGLE,MAP4,2015-02-13,6,3,PACBIO_SMRT,SRR1803620,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1333,SRX877679,PacBio RS II,SINGLE,NRCAM,2015-02-13,12,6,PACBIO_SMRT,SRR1803621,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,846,SRX877680,PacBio RS II,SINGLE,BIN1,2015-02-13,41,33,PACBIO_SMRT,SRR1803622,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
RNA-Seq,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1193,SRX877681,PacBio RS II,SINGLE,CAPN7,2015-02-13,37,32,PACBIO_SMRT,SRR1803623,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
Synthetic-Long-Read,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1992,SRX766498,Illumina HiSeq 2000,SINGLE,TB0000032_longReads,2014-11-24,802,468,ILLUMINA,SRR1660803,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
Synthetic-Long-Read,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1995,SRX766500,Illumina HiSeq 2000,SINGLE,TB0000033_longReads,2014-11-24,787,460,ILLUMINA,SRR1660805,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
Synthetic-Long-Read,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,1983,SRX766502,Illumina HiSeq 2000,SINGLE,TB0000034_longReads,2014-11-24,816,477,ILLUMINA,SRR1660807,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
Synthetic-Long-Read,Homo sapiens,,,pooled male and female,,,,,Brain,Human brain,,,,,,,,,,,,,,,,,,,,Human,2017,SRX766504,Illumina HiSeq 2000,SINGLE,TB0000035_longReads,2014-11-24,799,467,ILLUMINA,SRR1660809,PRJNA267017,SAMN03177381,STANFORD UNIVERSITY,public,0,cDNA,TRANSCRIPTOMIC,2015-05-11,SRS743833,SRP049776,lifeTech AM6050,lifeTech,lifeTech AM6050
