Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,source_name_s,Cell Line,Tissue Site 1,tissue_type_s,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,strain_s,cell_type_s,AvgSpotLen_l,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,Sample_Name_s,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755285,SRX1045723,2015-06-02,221,129,SRR2047480,SRS950934,GSM1701465,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755286,SRX1045724,2015-06-02,219,127,SRR2047481,SRS950933,GSM1701466,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755287,SRX1045725,2015-06-02,410,240,SRR2047482,SRS950920,GSM1701467,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755289,SRX1045726,2015-06-02,263,154,SRR2047483,SRS950931,GSM1701468,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755290,SRX1045727,2015-06-02,265,155,SRR2047484,SRS950932,GSM1701469,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755291,SRX1045728,2015-06-02,184,107,SRR2047485,SRS950930,GSM1701470,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755292,SRX1045729,2015-06-02,112,66,SRR2047486,SRS950929,GSM1701471,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755293,SRX1045730,2015-06-02,156,92,SRR2047487,SRS950928,GSM1701472,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755294,SRX1045731,2015-06-02,135,80,SRR2047488,SRS950927,GSM1701473,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755296,SRX1045732,2015-06-02,124,73,SRR2047489,SRS950926,GSM1701474,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755297,SRX1045733,2015-06-02,82,49,SRR2047490,SRS950925,GSM1701475,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755298,SRX1045734,2015-06-02,136,81,SRR2047491,SRS950924,GSM1701476,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755299,SRX1045735,2015-06-02,1116,570,SRR2047492,SRS950923,GSM1701477,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755300,SRX1045736,2015-06-02,1234,628,SRR2047493,SRS950921,GSM1701478,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
RNA-Seq,Homo sapiens,Human Brain Reference RNA,,,,,,Brain,human brain reference RNA (HBRR) with ERCC control RNAs,,,brain,,,,,Control,,,,,,,,,,,,,,,151,SAMN03755295,SRX1045737,2015-06-02,1141,595,SRR2047494,SRS950922,GSM1701479,PRJNA276148,GEO,public,0,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,2015-10-13,SRP055447
